	t1	t1.1	t10	t10.1	len(kb)
EC01288_0601	0	0	0	0	2.24
EC01288_0602	0	0	0	0	1.217
EC01288_0603	0	0	0	0	0.218
EC01288_0604	0	0	0	0	3.881
EC01288_0605	0	0	0	0	1.133
EC01288_0606	0	0	0	0	0.815
EC01288_0607	0	0	0	0	0.992
EC01288_0608	0	0	0	0	1.004
EC01288_0609	0	0	0	0	1.25
EC01288_0610	0	0	0	0	0.956
EC01288_0611	0	0	0	0	1.175
EC01288_0612	0	0	0	0	1.61
EC01288_0613	0	0	0	0	0.857
EC01288_0614	0	0	0	0	0.746
EC01288_0615	0	0	0	0	0.413
EC01288_0616	0	0	0	0	2.105
EC01288_0617	0	0	0	0	0.197
EC01288_0618	0	0	0	0	1.088
EC01288_0619	558	102	52	502	1.16
EC01288_0620	0	0	0	0	0.617
EC01288_0621	0	0	0	0	1.22
EC01288_0622	0	0	0	0	0.902
EC01288_0623	0	0	0	0	0.746
EC01288_0624	0	0	0	0	0.563
EC01288_0625	0	0	0	0	1.565
EC01288_0626	0	0	0	0	0.428
EC01288_0627	0	0	0	0	1.238
EC01288_0628	0	0	0	0	0.128
EC01288_0629	0	0	0	0	0.41
EC01288_0630	0	0	0	0	0.806
EC01288_0631	0	0	0	0	1.463
EC01288_0632	0	0	0	0	0.872
EC01288_0633	0	0	0	0	0.551
EC01288_0634	0	0	0	0	1.532
EC01288_0635	0	0	0	0	0.908
EC01288_0636	0	0	0	0	0.296
EC01288_0637	0	0	0	0	1.058
EC01288_0638	0	0	0	0	1.658
EC01288_0639	0	0	0	0	0.68
EC01288_0640	0	0	0	0	1.385
EC01288_0641	0	0	0	0	0.56
EC01288_0642	0	0	0	0	0.209
EC01288_0643	0	0	0	0	0.314
EC01288_0644	0	0	0	0	0.788
EC01288_0645	0	0	0	0	0.203
EC01288_0646	0	0	0	0	0.965
EC01288_0647	0	0	0	0	0.953
EC01288_0648	0	0	0	0	0.641
EC01288_0649	0	0	0	0	0.263
EC01288_0650	0	0	0	0	1.211
EC01288_0651	0	0	0	0	0.14
EC01288_0652	0	0	0	0	1.088
EC01288_0653	0	0	0	0	1.112
EC01288_0654	0	0	0	0	1.901
EC01288_0655	0	0	0	0	0.434
EC01288_0656	0	0	0	0	0.317
EC01288_0657	0	0	0	0	0.113
EC01288_0658	0	0	0	0	0.611
EC01288_0659	0	0	0	0	0.641
EC01288_0660	0	0	0	0	1.031
EC01288_0661	0	0	0	0	0.581
EC01288_0662	126	1161	1292	252	2.582
EC01288_0663	0	0	0	0	0.482
EC01288_0664	0	0	0	0	0.977
EC01288_0665	0	0	0	0	0.614
EC01288_0666	0	0	0	0	1.427
EC01288_0667	0	0	0	0	0.554
EC01288_0668	0	0	0	0	0.707
EC01288_0669	0	0	0	0	1.451
EC01288_0670	0	0	0	0	1.67
EC01288_0671	0	0	0	0	0.935
EC01288_0672	0	0	0	0	0.725
EC01288_0673	0	0	0	0	0.674
EC01288_0674	0	0	0	0	0.74
EC01288_0675	0	0	0	0	0.908
EC01288_0676	0	0	0	0	0.122
EC01288_0677	0	0	0	0	1.775
EC01288_0678	0	0	0	0	1.538
EC01288_0679	0	0	0	0	0.878
EC01288_0680	0	0	0	0	0.467
EC01288_0681	0	0	0	0	0.986
EC01288_0682	0	0	0	0	1.424
EC01288_0683	0	0	0	0	1.175
EC01288_0684	0	0	0	0	0.074
EC01288_0685	0	0	0	0	0.074
EC01288_0686	0	0	0	0	0.076
EC01288_0687	0	0	0	0	0.074
EC01288_0688	0	0	0	0	0.074
EC01288_0689	0	0	0	0	0.084
EC01288_0690	0	0	0	0	0.076
EC01288_0691	0	0	0	0	1.664
EC01288_0692	0	0	0	0	0.164
EC01288_0693	0	0	0	0	0.752
EC01288_0694	0	0	0	0	1.22
EC01288_0695	0	0	0	0	1.148
EC01288_0696	0	0	0	0	0.8
EC01288_0697	0	0	0	0	0.125
EC01288_0698	0	0	0	0	1.946
